Year,Queensland,New South Wales,Victoria
2021,41147,35237,55540
2022,41147,35237,55540
2023,41147,35237,55540
2024,41147,35237,55540
2025,41147,35237,55540
2026,38674,48631,55763
2027,38674,48631,55763
2028,38674,48631,55763
2029,38674,48631,55763
2030,38674,48631,55763
2031,38040,49609,58102
2032,38040,49609,58102
2033,38040,49609,58102
2034,38040,49609,58102
2035,38040,49609,58102
