lga_code,lga_name,2021_incr_det_vs,2021_incr_med_vs,2021_incr_high_vs,2022_incr_det_vs,2022_incr_med_vs,2022_incr_high_vs,2023_incr_det_vs,2023_incr_med_vs,2023_incr_high_vs,2024_incr_det_vs,2024_incr_med_vs,2024_incr_high_vs,2025_incr_det_vs,2025_incr_med_vs,2025_incr_high_vs,2026_incr_det_vs,2026_incr_med_vs,2026_incr_high_vs,2027_incr_det_vs,2027_incr_med_vs,2027_incr_high_vs,2028_incr_det_vs,2028_incr_med_vs,2028_incr_high_vs,2029_incr_det_vs,2029_incr_med_vs,2029_incr_high_vs,2030_incr_det_vs,2030_incr_med_vs,2030_incr_high_vs,2031_incr_det_vs,2031_incr_med_vs,2031_incr_high_vs,2032_incr_det_vs,2032_incr_med_vs,2032_incr_high_vs,2033_incr_det_vs,2033_incr_med_vs,2033_incr_high_vs,2034_incr_det_vs,2034_incr_med_vs,2034_incr_high_vs,2035_incr_det_vs,2035_incr_med_vs,2035_incr_high_vs,2021_total_intensity,2022_total_intensity,2023_total_intensity,2024_total_intensity,2025_total_intensity,2026_total_intensity,2027_total_intensity,2028_total_intensity,2029_total_intensity,2030_total_intensity,2031_total_intensity,2032_total_intensity,2033_total_intensity,2034_total_intensity,2035_total_intensity
26170,South Gippsland (S),1720.0,90.0,0.0,1720.0,90.0,0.0,1720.0,90.0,0.0,1720.0,90.0,0.0,1720.0,90.0,0.0,1820.0,90.0,0.0,1820.0,90.0,0.0,1820.0,90.0,0.0,1820.0,90.0,0.0,1820.0,90.0,0.0,1820.0,90.0,0.0,1820.0,90.0,0.0,1820.0,90.0,0.0,1820.0,90.0,0.0,1820.0,90.0,0.0,1820.0,1820.0,1820.0,1820.0,1820.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0
26260,Southern Grampians (S),370.0,40.0,0.0,370.0,40.0,0.0,370.0,40.0,0.0,370.0,40.0,0.0,370.0,40.0,0.0,290.0,30.0,0.0,290.0,30.0,0.0,290.0,30.0,0.0,290.0,30.0,0.0,290.0,30.0,0.0,280.0,20.0,0.0,280.0,20.0,0.0,280.0,20.0,0.0,280.0,20.0,0.0,280.0,20.0,0.0,400.0,400.0,400.0,400.0,400.0,320.0,320.0,320.0,320.0,320.0,310.0,310.0,310.0,310.0,310.0
26350,Stonnington (C),630.0,370.0,10.0,630.0,370.0,10.0,630.0,370.0,10.0,630.0,370.0,10.0,630.0,370.0,10.0,610.0,360.0,10.0,610.0,360.0,10.0,610.0,360.0,10.0,610.0,360.0,10.0,610.0,360.0,10.0,590.0,350.0,10.0,590.0,350.0,10.0,590.0,350.0,10.0,590.0,350.0,10.0,590.0,350.0,10.0,1010.0,1010.0,1010.0,1010.0,1010.0,980.0,980.0,980.0,980.0,980.0,950.0,950.0,950.0,950.0,950.0
26430,Strathbogie (S),710.0,10.0,0.0,710.0,10.0,0.0,710.0,10.0,0.0,710.0,10.0,0.0,710.0,10.0,0.0,690.0,10.0,0.0,690.0,10.0,0.0,690.0,10.0,0.0,690.0,10.0,0.0,690.0,10.0,0.0,690.0,10.0,0.0,690.0,10.0,0.0,690.0,10.0,0.0,690.0,10.0,0.0,690.0,10.0,0.0,720.0,720.0,720.0,720.0,720.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
26490,Surf Coast (S),3450.0,450.0,0.0,3450.0,450.0,0.0,3450.0,450.0,0.0,3450.0,450.0,0.0,3450.0,450.0,0.0,2550.0,330.0,0.0,2550.0,330.0,0.0,2550.0,330.0,0.0,2550.0,330.0,0.0,2550.0,330.0,0.0,2140.0,280.0,0.0,2140.0,280.0,0.0,2140.0,280.0,0.0,2140.0,280.0,0.0,2140.0,280.0,0.0,3900.0,3900.0,3900.0,3900.0,3900.0,2880.0,2880.0,2880.0,2880.0,2880.0,2420.0,2420.0,2420.0,2420.0,2420.0
26610,Swan Hill (RC),340.0,110.0,0.0,340.0,110.0,0.0,340.0,110.0,0.0,340.0,110.0,0.0,340.0,110.0,0.0,330.0,100.0,0.0,330.0,100.0,0.0,330.0,100.0,0.0,330.0,100.0,0.0,330.0,100.0,0.0,310.0,100.0,0.0,310.0,100.0,0.0,310.0,100.0,0.0,310.0,100.0,0.0,310.0,100.0,0.0,440.0,440.0,440.0,440.0,440.0,430.0,430.0,430.0,430.0,430.0,410.0,410.0,410.0,410.0,410.0
26670,Towong (S),160.0,10.0,0.0,160.0,10.0,0.0,160.0,10.0,0.0,160.0,10.0,0.0,160.0,10.0,0.0,130.0,10.0,0.0,130.0,10.0,0.0,130.0,10.0,0.0,130.0,10.0,0.0,130.0,10.0,0.0,110.0,10.0,0.0,110.0,10.0,0.0,110.0,10.0,0.0,110.0,10.0,0.0,110.0,10.0,0.0,170.0,170.0,170.0,170.0,170.0,140.0,140.0,140.0,140.0,140.0,120.0,120.0,120.0,120.0,120.0
26700,Wangaratta (RC),1120.0,120.0,0.0,1120.0,120.0,0.0,1120.0,120.0,0.0,1120.0,120.0,0.0,1120.0,120.0,0.0,1050.0,110.0,0.0,1050.0,110.0,0.0,1050.0,110.0,0.0,1050.0,110.0,0.0,1050.0,110.0,0.0,1050.0,110.0,0.0,1050.0,110.0,0.0,1050.0,110.0,0.0,1050.0,110.0,0.0,1050.0,110.0,0.0,1240.0,1240.0,1240.0,1240.0,1240.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0
26730,Warrnambool (C),1650.0,90.0,0.0,1650.0,90.0,0.0,1650.0,90.0,0.0,1650.0,90.0,0.0,1650.0,90.0,0.0,1740.0,90.0,0.0,1740.0,90.0,0.0,1740.0,90.0,0.0,1740.0,90.0,0.0,1740.0,90.0,0.0,1770.0,90.0,0.0,1770.0,90.0,0.0,1770.0,90.0,0.0,1770.0,90.0,0.0,1770.0,90.0,0.0,1740.0,1740.0,1740.0,1740.0,1740.0,1840.0,1840.0,1840.0,1840.0,1840.0,1870.0,1870.0,1870.0,1870.0,1870.0
26810,Wellington (S),2300.0,60.0,0.0,2300.0,60.0,0.0,2300.0,60.0,0.0,2300.0,60.0,0.0,2300.0,60.0,0.0,2310.0,60.0,0.0,2310.0,60.0,0.0,2310.0,60.0,0.0,2310.0,60.0,0.0,2310.0,60.0,0.0,2240.0,60.0,0.0,2240.0,60.0,0.0,2240.0,60.0,0.0,2240.0,60.0,0.0,2240.0,60.0,0.0,2350.0,2350.0,2350.0,2350.0,2350.0,2360.0,2360.0,2360.0,2360.0,2360.0,2300.0,2300.0,2300.0,2300.0,2300.0
26890,West Wimmera (S),80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,50.0,50.0,50.0,50.0,50.0,40.0,40.0,40.0,40.0,40.0
26980,Whitehorse (C),3410.0,2370.0,10.0,3410.0,2370.0,10.0,3410.0,2370.0,10.0,3410.0,2370.0,10.0,3410.0,2370.0,10.0,3270.0,2270.0,10.0,3270.0,2270.0,10.0,3270.0,2270.0,10.0,3270.0,2270.0,10.0,3270.0,2270.0,10.0,3270.0,2270.0,10.0,3270.0,2270.0,10.0,3270.0,2270.0,10.0,3270.0,2270.0,10.0,3270.0,2270.0,10.0,5790.0,5790.0,5790.0,5790.0,5790.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0,5550.0
27070,Whittlesea (C),19940.0,2690.0,0.0,19940.0,2690.0,0.0,19940.0,2690.0,0.0,19940.0,2690.0,0.0,19940.0,2690.0,0.0,20130.0,2720.0,0.0,20130.0,2720.0,0.0,20130.0,2720.0,0.0,20130.0,2720.0,0.0,20130.0,2720.0,0.0,21300.0,2880.0,0.0,21300.0,2880.0,0.0,21300.0,2880.0,0.0,21300.0,2880.0,0.0,21300.0,2880.0,0.0,22630.0,22630.0,22630.0,22630.0,22630.0,22850.0,22850.0,22850.0,22850.0,22850.0,24180.0,24180.0,24180.0,24180.0,24180.0
27170,Wodonga (C),3030.0,130.0,0.0,3030.0,130.0,0.0,3030.0,130.0,0.0,3030.0,130.0,0.0,3030.0,130.0,0.0,3100.0,130.0,0.0,3100.0,130.0,0.0,3100.0,130.0,0.0,3100.0,130.0,0.0,3100.0,130.0,0.0,3110.0,130.0,0.0,3110.0,130.0,0.0,3110.0,130.0,0.0,3110.0,130.0,0.0,3110.0,130.0,0.0,3150.0,3150.0,3150.0,3150.0,3150.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0
27260,Wyndham (C),37370.0,2440.0,0.0,37370.0,2440.0,0.0,37370.0,2440.0,0.0,37370.0,2440.0,0.0,37370.0,2440.0,0.0,32990.0,2160.0,0.0,32990.0,2160.0,0.0,32990.0,2160.0,0.0,32990.0,2160.0,0.0,32990.0,2160.0,0.0,32740.0,2140.0,0.0,32740.0,2140.0,0.0,32740.0,2140.0,0.0,32740.0,2140.0,0.0,32740.0,2140.0,0.0,39810.0,39810.0,39810.0,39810.0,39810.0,35150.0,35150.0,35150.0,35150.0,35150.0,34880.0,34880.0,34880.0,34880.0,34880.0
27350,Yarra (C),640.0,900.0,10.0,640.0,900.0,10.0,640.0,900.0,10.0,640.0,900.0,10.0,640.0,900.0,10.0,650.0,920.0,10.0,650.0,920.0,10.0,650.0,920.0,10.0,650.0,920.0,10.0,650.0,920.0,10.0,670.0,930.0,10.0,670.0,930.0,10.0,670.0,930.0,10.0,670.0,930.0,10.0,670.0,930.0,10.0,1560.0,1560.0,1560.0,1560.0,1560.0,1580.0,1580.0,1580.0,1580.0,1580.0,1610.0,1610.0,1610.0,1610.0,1610.0
27450,Yarra Ranges (S),3010.0,1320.0,0.0,3010.0,1320.0,0.0,3010.0,1320.0,0.0,3010.0,1320.0,0.0,3010.0,1320.0,0.0,3300.0,1450.0,0.0,3300.0,1450.0,0.0,3300.0,1450.0,0.0,3300.0,1450.0,0.0,3300.0,1450.0,0.0,3680.0,1620.0,0.0,3680.0,1620.0,0.0,3680.0,1620.0,0.0,3680.0,1620.0,0.0,3680.0,1620.0,0.0,4340.0,4340.0,4340.0,4340.0,4340.0,4750.0,4750.0,4750.0,4750.0,4750.0,5300.0,5300.0,5300.0,5300.0,5300.0
27630,Yarriambiack (S),60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,70.0,10.0,0.0,70.0,10.0,0.0,70.0,10.0,0.0,70.0,10.0,0.0,70.0,10.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,70.0,70.0,70.0,70.0,70.0,60.0,60.0,60.0,60.0,60.0
29399,Unincorporated Vic,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
