lga_code,lga_name,SEQ,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw,2046_dw,2021_incr,2022_incr,2023_incr,2024_incr,2025_incr,2026_incr,2027_incr,2028_incr,2029_incr,2030_incr,2031_incr,2032_incr,2033_incr,2034_incr,2035_incr,2036_incr,2037_incr,2038_incr,2039_incr,2040_incr,2041_incr,2042_incr,2043_incr,2044_incr,2045_incr
32500.0,Cook,False,2003.0,2136.0,2163.0,2189.0,2189.0,2181.0,27.0,27.0,27.0,27.0,27.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0
32600.0,Croydon,False,138.0,134.0,132.0,131.0,129.0,126.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0
32750.0,Diamantina,False,174.0,176.0,175.0,173.0,171.0,167.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0
32770.0,Doomadgee,False,361.0,377.0,379.0,381.0,382.0,384.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32810.0,Douglas,False,6132.0,6724.0,7268.0,7766.0,8228.0,8667.0,118.0,118.0,118.0,118.0,118.0,109.0,109.0,109.0,109.0,109.0,100.0,100.0,100.0,100.0,100.0,92.0,92.0,92.0,92.0,92.0,88.0,88.0,88.0,88.0,88.0
33100.0,Etheridge,False,257.0,256.0,253.0,250.0,244.0,237.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33200.0,Flinders (Qld),False,836.0,853.0,872.0,862.0,844.0,825.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
33220.0,Fraser Coast,False,50408.0,54015.0,56865.0,58911.0,60154.0,60973.0,721.0,721.0,721.0,721.0,721.0,570.0,570.0,570.0,570.0,570.0,409.0,409.0,409.0,409.0,409.0,249.0,249.0,249.0,249.0,249.0,164.0,164.0,164.0,164.0,164.0
33360.0,Gladstone,False,28515.0,30329.0,31856.0,33335.0,34693.0,35940.0,363.0,363.0,363.0,363.0,363.0,305.0,305.0,305.0,305.0,305.0,296.0,296.0,296.0,296.0,296.0,272.0,272.0,272.0,272.0,272.0,249.0,249.0,249.0,249.0,249.0
33430.0,Gold Coast,True,266977.0,302667.0,334522.0,366595.0,397150.0,426628.0,7138.0,7138.0,7138.0,7138.0,7138.0,6371.0,6371.0,6371.0,6371.0,6371.0,6415.0,6415.0,6415.0,6415.0,6415.0,6111.0,6111.0,6111.0,6111.0,6111.0,5896.0,5896.0,5896.0,5896.0,5896.0
33610.0,Goondiwindi,False,4676.0,4676.0,4688.0,4664.0,4609.0,4541.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,-5.0,-5.0,-5.0,-5.0,-5.0,-11.0,-11.0,-11.0,-11.0,-11.0,-14.0,-14.0,-14.0,-14.0,-14.0
33620.0,Gympie,False,23767.0,25610.0,26574.0,27309.0,27869.0,28260.0,369.0,369.0,369.0,369.0,369.0,193.0,193.0,193.0,193.0,193.0,147.0,147.0,147.0,147.0,147.0,112.0,112.0,112.0,112.0,112.0,78.0,78.0,78.0,78.0,78.0
33800.0,Hinchinbrook,False,5622.0,5789.0,5813.0,5830.0,5836.0,5833.0,33.0,33.0,33.0,33.0,33.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33830.0,Hope Vale,False,332.0,357.0,367.0,373.0,378.0,382.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33960.0,Ipswich,True,86758.0,103934.0,125811.0,152522.0,181038.0,209404.0,3435.0,3435.0,3435.0,3435.0,3435.0,4375.0,4375.0,4375.0,4375.0,4375.0,5342.0,5342.0,5342.0,5342.0,5342.0,5703.0,5703.0,5703.0,5703.0,5703.0,5673.0,5673.0,5673.0,5673.0,5673.0
33980.0,Isaac,False,10327.0,10709.0,11053.0,11462.0,11889.0,12338.0,76.0,76.0,76.0,76.0,76.0,69.0,69.0,69.0,69.0,69.0,82.0,82.0,82.0,82.0,82.0,85.0,85.0,85.0,85.0,85.0,90.0,90.0,90.0,90.0,90.0
34420.0,Kowanyama,False,294.0,314.0,332.0,348.0,358.0,364.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
