state_code,state_name,lga_code,lga_name,SEQ,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw,2046_dw,Unnamed: 6
3,Queensland,36820,Tablelands,False,12181.0,12935.0,13613.0,14242.0,14808.0,15330.0,
3,Queensland,36910,Toowoomba,True,73081.0,76947.0,81202.0,85039.0,88193.0,90962.0,
3,Queensland,36950,Torres,False,1188.0,1231.0,1267.0,1295.0,1304.0,1300.0,
3,Queensland,36960,Torres Strait Island,False,1279.0,1315.0,1314.0,1312.0,1295.0,1269.0,
3,Queensland,37010,Townsville,False,81634.0,86678.0,92875.0,98984.0,104590.0,109524.0,
3,Queensland,37300,Weipa,False,1670.0,1689.0,1695.0,1705.0,1706.0,1702.0,
3,Queensland,37310,Western Downs,False,15566.0,16076.0,16605.0,16909.0,17030.0,17031.0,
3,Queensland,37340,Whitsunday,False,15919.0,17181.0,18438.0,19684.0,20901.0,22117.0,
3,Queensland,37400,Winton,False,637.0,646.0,637.0,630.0,615.0,597.0,
3,Queensland,37550,Woorabinda,False,304.0,322.0,330.0,338.0,346.0,354.0,
3,Queensland,37570,Wujal Wujal,False,89.0,103.0,106.0,108.0,109.0,109.0,
3,Queensland,37600,Yarrabah,False,454.0,503.0,553.0,615.0,685.0,762.0,
1,New South Wales,10050,Albury (C),,26364.30982,28716.34728,31646.19475,34715.78469,37639.56877,,
1,New South Wales,10180,Armidale Regional (A),,13339.13856,13328.00228,13577.4022,13918.27598,14261.37439,,
1,New South Wales,10250,Ballina (A),,21224.7152,22669.0937,24146.44343,25468.27817,26576.82188,,
1,New South Wales,10300,Balranald (A),,1114.528723,1047.74339,993.2210101,944.3544757,893.5190655,,
1,New South Wales,10470,Bathurst Regional (A),,19379.99856,20716.0503,22265.19452,23886.47059,25496.13963,,
1,New South Wales,10500,Bayside (A),,71878.63979,72337.8717,77840.84615,81198.94425,83628.79414,,
1,New South Wales,10550,Bega Valley (A),,19195.02321,19947.86358,20600.90192,21081.65319,21400.03543,,
1,New South Wales,10600,Bellingen (A),,6457.739056,6596.185969,6733.100732,6840.593529,6911.43128,,
1,New South Wales,10650,Berrigan (A),,4799.982521,4951.470273,5186.666753,5406.379858,5612.518753,,
1,New South Wales,10750,Blacktown (C),,129208.2565,138549.0606,151893.1359,166109.3112,180693.2143,,
1,New South Wales,10800,Bland (A),,3058.072221,3146.47806,3221.950296,3260.871705,3278.03979,,
1,New South Wales,10850,Blayney (A),,3412.620791,3460.648166,3537.450799,3619.17023,3697.801808,,
1,New South Wales,10900,Blue Mountains (C),,36754.31051,38200.78957,39646.94347,41069.96503,42450.24029,,
1,New South Wales,10950,Bogan (A),,1270.915947,1139.216954,1019.218331,910.3866556,802.9716901,,
1,New South Wales,11150,Bourke (A),,1248.220295,1150.27267,1052.734427,939.378348,819.8412974,,
1,New South Wales,11200,Brewarrina (A),,775.7842852,758.912022,729.2759367,672.8993563,582.1807078,,
1,New South Wales,11250,Broken Hill (C),,9292.909681,8685.332322,8025.793052,7246.50117,6361.055522,,
1,New South Wales,11300,Burwood (A),,15644.17892,17741.11541,20015.17529,22293.24302,23319.09059,,
1,New South Wales,11350,Byron (A),,17505.20293,18442.62463,19642.2196,20845.34261,22027.30322,,
1,New South Wales,11400,Cabonne (A),,6117.299083,6374.879934,6659.452719,6932.7831,7207.812554,,
1,New South Wales,11450,Camden (A),,36552.74178,43498.58751,52433.44058,62367.91712,74687.66026,,
1,New South Wales,11500,Campbelltown (C) (NSW),,62604.65412,66720.24151,72839.00327,79901.26961,86423.89994,,
1,New South Wales,11520,Canada Bay (A),,41407.40119,43410.49142,45246.68208,47080.61521,48615.76844,,
1,New South Wales,11570,Canterbury-Bankstown (A),,135119.171,141922.0327,151099.1587,160363.7311,169144.71,,
1,New South Wales,11600,Carrathool (A),,1271.556306,1238.018797,1222.256979,1209.849993,1200.790293,,
1,New South Wales,11650,Central Coast (C) (NSW),,159168.6827,166186.6672,174769.9477,183555.3347,191696.229,,
1,New South Wales,11700,Central Darling (A),,1037.329951,995.3073431,960.9847056,919.9007334,850.2429356,,
1,New South Wales,11720,Cessnock (C),,26205.55142,29140.69734,32345.4765,35628.62267,38827.53092,,
1,New South Wales,11730,Clarence Valley (A),,25746.045,26414.73478,27137.73615,27721.3104,28153.22033,,
1,New South Wales,11750,Cobar (A),,2272.535816,2053.677876,1850.559513,1646.991511,1409.95325,,
1,New South Wales,11800,Coffs Harbour (C),,35316.24096,36887.16852,38804.19884,40537.96628,41983.19425,,
1,New South Wales,12000,Coolamon (A),,1980.334724,2085.844397,2241.855856,2408.076468,2572.80082,,
1,New South Wales,12150,Coonamble (A),,2042.463021,2009.84826,1942.352951,1843.447129,1715.887894,,
1,New South Wales,12160,Cootamundra-Gundagai Regional (A),,5600.246325,5659.859865,5732.460511,5789.892571,5829.780907,,
1,New South Wales,12350,Cowra (A),,6377.281506,6720.432907,7021.703637,7259.784316,7443.605909,,
1,New South Wales,12380,Cumberland (A),,83494.85032,89238.08533,97187.42131,103854.9872,110030.4316,,
1,New South Wales,12390,Dubbo Regional (A),,23323.35398,24473.86825,25843.2835,27222.29771,28526.15469,,
1,New South Wales,12700,Dungog (A),,4582.264647,5159.752551,5763.708459,6380.876037,6995.386793,,
1,New South Wales,12730,Edward River (A),,4628.348586,4737.300202,4849.292883,4926.207084,4950.299573,,
1,New South Wales,12750,Eurobodalla (A),,26373.12201,28227.29992,29927.00624,31373.81598,32592.27436,,
1,New South Wales,12850,Fairfield (C),,67940.74261,71234.53813,75389.08723,80161.98914,85978.74096,,
1,New South Wales,12870,Federation (A),,6831.634352,7145.143777,7444.178222,7642.214633,7751.276206,,
1,New South Wales,12900,Forbes (A),,4639.717556,4976.302382,5460.359269,5966.215305,6458.840771,,
1,New South Wales,12930,Georges River (A),,60366.52225,61310.05237,64641.46774,68746.92089,72532.99558,,
1,New South Wales,12950,Gilgandra (A),,1979.664299,1907.133546,1847.396002,1776.834615,1693.546816,,
1,New South Wales,13010,Glen Innes Severn (A),,4585.016375,4735.697544,4862.435143,4937.335225,4966.146694,,
1,New South Wales,13310,Goulburn Mulwaree (A),,14912.93423,16045.79263,17309.41975,18553.60614,19704.72428,,
1,New South Wales,13340,Greater Hume Shire (A),,4916.717312,5206.993466,5551.103345,5883.783097,6206.381711,,
1,New South Wales,13450,Griffith (C),,11559.10547,11993.76976,12712.57263,13455.50307,14159.57252,,
1,New South Wales,13550,Gunnedah (A),,5765.540295,5867.874229,6038.625865,6211.488875,6350.413158,,
1,New South Wales,13660,Gwydir (A),,2737.083727,2813.735496,2868.780135,2910.515802,2934.72451,,
1,New South Wales,13800,Hawkesbury (C),,26146.28036,26948.67765,28099.77597,29731.19132,32071.37439,,
1,New South Wales,13850,Hay (A),,1548.031798,1545.582902,1532.496029,1512.341612,1486.843103,,
1,New South Wales,13910,Hilltops (A),,9309.77266,9596.554389,9827.490738,9961.79684,10046.12856,,
1,New South Wales,14000,Hornsby (A),,55911.70737,57657.04212,60139.73234,62674.00257,64707.39792,,
1,New South Wales,14100,Hunters Hill (A),,5697.279773,5759.529998,5847.863693,5975.505586,6113.604674,,
1,New South Wales,14170,Inner West (A),,90716.78612,91511.91213,94200.21377,97478.37389,100722.5753,,
1,New South Wales,14220,Inverell (A),,8339.873309,8408.024397,8490.996798,8545.922798,8547.901592,,
1,New South Wales,14300,Junee (A),,2698.195612,2801.677992,2938.383257,3074.001243,3204.602795,,
1,New South Wales,14350,Kempsey (A),,14546.6322,14920.60058,15322.13751,15643.62899,15898.84004,,
1,New South Wales,14400,Kiama (A),,11675.96029,12461.46647,13435.69466,14464.60584,15447.39919,,
1,New South Wales,14500,Ku-ring-gai (A),,46401.73216,48370.56079,50748.92872,53208.93055,54691.60735,,
1,New South Wales,14550,Kyogle (A),,4416.939988,4303.061444,4102.854798,3833.793334,3532.245805,,
1,New South Wales,14600,Lachlan (A),,2981.222462,2926.369369,2877.257025,2767.564166,2617.093391,,
1,New South Wales,14650,Lake Macquarie (C),,90081.61452,94870.37169,100140.8996,105478.7647,110334.6428,,
1,New South Wales,14700,Lane Cove (A),,17296.87896,19151.16698,19950.44332,20712.0914,20991.49278,,
1,New South Wales,14750,Leeton (A),,4951.481309,5088.883362,5161.93634,5216.039294,5226.585682,,
1,New South Wales,14850,Lismore (C),,19834.16048,19860.92016,19751.22987,19459.01522,18985.87718,,
1,New South Wales,14870,Lithgow (C),,10627.60733,10875.91442,11053.61352,11151.32012,11131.75796,,
1,New South Wales,14900,Liverpool (C),,76659.32408,82989.58901,91807.21084,101451.0756,109959.1705,,
1,New South Wales,14920,Liverpool Plains (A),,3975.976452,3993.843483,3969.398579,3904.551767,3806.264455,,
1,New South Wales,14950,Lockhart (A),,1462.031825,1546.538146,1664.280263,1803.745026,1944.114901,,
1,New South Wales,15050,Maitland (C),,36679.80326,42364.75386,48720.55111,55330.32923,61873.23912,,
1,New South Wales,15240,Mid-Coast (A),,52998.32846,56043.19765,59089.61169,61760.48378,64033.68783,,
1,New South Wales,15270,Mid-Western Regional (A),,12521.35036,13139.34922,13811.5999,14485.83053,15088.00956,,
1,New South Wales,15300,Moree Plains (A),,6281.363236,6842.084835,7416.645731,7984.130799,8507.180143,,
1,New South Wales,15350,Mosman (A),,14582.63644,15117.68061,15595.3525,15997.55165,16277.75735,,
1,New South Wales,15520,Murray River (A),,6467.030055,6905.267569,7418.497916,7904.881775,8337.234427,,
1,New South Wales,15560,Murrumbidgee (A),,1853.221831,1910.255012,1984.648985,2045.097369,2091.681709,,
1,New South Wales,15650,Muswellbrook (A),,7370.315499,7760.21309,8142.457987,8417.56231,8589.168507,,
1,New South Wales,15700,Nambucca Valley (A),,10032.14847,10306.29536,10575.94008,10775.50283,10888.5491,,
1,New South Wales,15750,Narrabri (A),,5964.186988,5956.895884,5949.431992,5902.347009,5803.251844,,
1,New South Wales,15800,Narrandera (A),,2863.106461,2787.194411,2753.61425,2729.848343,2691.779283,,
1,New South Wales,15850,Narromine (A),,2982.523171,2894.975991,2761.335874,2601.999859,2416.614068,,
1,New South Wales,15900,Newcastle (C),,75754.79245,78777.78701,83503.04056,88617.84019,93594.80072,,
1,New South Wales,15950,North Sydney (A),,41259.571,42617.21826,44685.53616,46932.37837,47931.60963,,
1,New South Wales,15990,Northern Beaches (A),,113363.5749,117457.0565,121968.4033,126493.7981,130105.6097,,
