lga_code,lga_name,2021_incr_det_vs,2021_incr_med_vs,2021_incr_high_vs,2022_incr_det_vs,2022_incr_med_vs,2022_incr_high_vs,2023_incr_det_vs,2023_incr_med_vs,2023_incr_high_vs,2024_incr_det_vs,2024_incr_med_vs,2024_incr_high_vs,2025_incr_det_vs,2025_incr_med_vs,2025_incr_high_vs,2026_incr_det_vs,2026_incr_med_vs,2026_incr_high_vs,2027_incr_det_vs,2027_incr_med_vs,2027_incr_high_vs,2028_incr_det_vs,2028_incr_med_vs,2028_incr_high_vs,2029_incr_det_vs,2029_incr_med_vs,2029_incr_high_vs,2030_incr_det_vs,2030_incr_med_vs,2030_incr_high_vs,2031_incr_det_vs,2031_incr_med_vs,2031_incr_high_vs,2032_incr_det_vs,2032_incr_med_vs,2032_incr_high_vs,2033_incr_det_vs,2033_incr_med_vs,2033_incr_high_vs,2034_incr_det_vs,2034_incr_med_vs,2034_incr_high_vs,2035_incr_det_vs,2035_incr_med_vs,2035_incr_high_vs,2036_incr_det_vs,2036_incr_med_vs,2036_incr_high_vs,2037_incr_det_vs,2037_incr_med_vs,2037_incr_high_vs,2038_incr_det_vs,2038_incr_med_vs,2038_incr_high_vs,2039_incr_det_vs,2039_incr_med_vs,2039_incr_high_vs,2040_incr_det_vs,2040_incr_med_vs,2040_incr_high_vs,2041_incr_det_vs,2041_incr_med_vs,2041_incr_high_vs,2042_incr_det_vs,2042_incr_med_vs,2042_incr_high_vs,2043_incr_det_vs,2043_incr_med_vs,2043_incr_high_vs,2044_incr_det_vs,2044_incr_med_vs,2044_incr_high_vs,2045_incr_det_vs,2045_incr_med_vs,2045_incr_high_vs,2021_total_intensity,2022_total_intensity,2023_total_intensity,2024_total_intensity,2025_total_intensity,2026_total_intensity,2027_total_intensity,2028_total_intensity,2029_total_intensity,2030_total_intensity,2031_total_intensity,2032_total_intensity,2033_total_intensity,2034_total_intensity,2035_total_intensity,2036_total_intensity,2037_total_intensity,2038_total_intensity,2039_total_intensity,2040_total_intensity,2041_total_intensity,2042_total_intensity,2043_total_intensity,2044_total_intensity,2045_total_intensity
31900.0,Burdekin,180.0,10.0,0.0,180.0,10.0,0.0,180.0,10.0,0.0,180.0,10.0,0.0,180.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,200.0,10.0,0.0,200.0,10.0,0.0,200.0,10.0,0.0,200.0,10.0,0.0,200.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,190.0,190.0,190.0,190.0,190.0,230.0,230.0,230.0,230.0,230.0,210.0,210.0,210.0,210.0,210.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
31950.0,Burke,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0
32080.0,Cairns,8180.0,300.0,0.0,8180.0,300.0,0.0,8180.0,300.0,0.0,8180.0,300.0,0.0,8180.0,300.0,0.0,8630.0,310.0,0.0,8630.0,310.0,0.0,8630.0,310.0,0.0,8630.0,310.0,0.0,8630.0,310.0,0.0,8130.0,300.0,0.0,8130.0,300.0,0.0,8130.0,300.0,0.0,8130.0,300.0,0.0,8130.0,300.0,0.0,6880.0,250.0,0.0,6880.0,250.0,0.0,6880.0,250.0,0.0,6880.0,250.0,0.0,6880.0,250.0,0.0,6430.0,230.0,0.0,6430.0,230.0,0.0,6430.0,230.0,0.0,6430.0,230.0,0.0,6430.0,230.0,0.0,8480.0,8480.0,8480.0,8480.0,8480.0,8950.0,8950.0,8950.0,8950.0,8950.0,8420.0,8420.0,8420.0,8420.0,8420.0,7130.0,7130.0,7130.0,7130.0,7130.0,6660.0,6660.0,6660.0,6660.0,6660.0
32250.0,Carpentaria,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,40.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
32260.0,Cassowary Coast,1330.0,80.0,0.0,1330.0,80.0,0.0,1330.0,80.0,0.0,1330.0,80.0,0.0,1330.0,80.0,0.0,1120.0,60.0,0.0,1120.0,60.0,0.0,1120.0,60.0,0.0,1120.0,60.0,0.0,1120.0,60.0,0.0,1160.0,60.0,0.0,1160.0,60.0,0.0,1160.0,60.0,0.0,1160.0,60.0,0.0,1160.0,60.0,0.0,1140.0,60.0,0.0,1140.0,60.0,0.0,1140.0,60.0,0.0,1140.0,60.0,0.0,1140.0,60.0,0.0,1120.0,60.0,0.0,1120.0,60.0,0.0,1120.0,60.0,0.0,1120.0,60.0,0.0,1120.0,60.0,0.0,1410.0,1410.0,1410.0,1410.0,1410.0,1180.0,1180.0,1180.0,1180.0,1180.0,1220.0,1220.0,1220.0,1220.0,1220.0,1210.0,1210.0,1210.0,1210.0,1210.0,1180.0,1180.0,1180.0,1180.0,1180.0
32270.0,Central Highlands (Qld),1250.0,20.0,0.0,1250.0,20.0,0.0,1250.0,20.0,0.0,1250.0,20.0,0.0,1250.0,20.0,0.0,910.0,20.0,0.0,910.0,20.0,0.0,910.0,20.0,0.0,910.0,20.0,0.0,910.0,20.0,0.0,900.0,20.0,0.0,900.0,20.0,0.0,900.0,20.0,0.0,900.0,20.0,0.0,900.0,20.0,0.0,950.0,20.0,0.0,950.0,20.0,0.0,950.0,20.0,0.0,950.0,20.0,0.0,950.0,20.0,0.0,980.0,20.0,0.0,980.0,20.0,0.0,980.0,20.0,0.0,980.0,20.0,0.0,980.0,20.0,0.0,1270.0,1270.0,1270.0,1270.0,1270.0,930.0,930.0,930.0,930.0,930.0,920.0,920.0,920.0,920.0,920.0,970.0,970.0,970.0,970.0,970.0,990.0,990.0,990.0,990.0,990.0
32310.0,Charters Towers,110.0,40.0,0.0,110.0,40.0,0.0,110.0,40.0,0.0,110.0,40.0,0.0,110.0,40.0,0.0,110.0,40.0,0.0,110.0,40.0,0.0,110.0,40.0,0.0,110.0,40.0,0.0,110.0,40.0,0.0,100.0,40.0,0.0,100.0,40.0,0.0,100.0,40.0,0.0,100.0,40.0,0.0,100.0,40.0,0.0,100.0,40.0,0.0,100.0,40.0,0.0,100.0,40.0,0.0,100.0,40.0,0.0,100.0,40.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,120.0,120.0,120.0,120.0,120.0
32330.0,Cherbourg,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
32450.0,Cloncurry,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,80.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32500.0,Cook,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,220.0,10.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,240.0,240.0,240.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
