state_code,state_name,lga_code,lga_name,SEQ,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw,2046_dw,Unnamed: 6,2021_incr,2022_incr,2023_incr,2024_incr,2025_incr,2026_incr,2027_incr,2028_incr,2029_incr,2030_incr,2031_incr,2032_incr,2033_incr,2034_incr,2035_incr
3,Queensland,33360,Gladstone,False,28515.0,30329.0,31856.0,33335.0,34693.0,35940.0,,363.0,363.0,363.0,363.0,363.0,305.0,305.0,305.0,305.0,305.0,296.0,296.0,296.0,296.0,296.0
3,Queensland,33430,Gold Coast,True,266977.0,302667.0,334522.0,366595.0,397150.0,426628.0,,7138.0,7138.0,7138.0,7138.0,7138.0,6371.0,6371.0,6371.0,6371.0,6371.0,6415.0,6415.0,6415.0,6415.0,6415.0
3,Queensland,33610,Goondiwindi,False,4676.0,4676.0,4688.0,4664.0,4609.0,4541.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,-5.0,-5.0,-5.0,-5.0,-5.0
3,Queensland,33620,Gympie,False,23767.0,25610.0,26574.0,27309.0,27869.0,28260.0,,369.0,369.0,369.0,369.0,369.0,193.0,193.0,193.0,193.0,193.0,147.0,147.0,147.0,147.0,147.0
3,Queensland,33800,Hinchinbrook,False,5622.0,5789.0,5813.0,5830.0,5836.0,5833.0,,33.0,33.0,33.0,33.0,33.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0
3,Queensland,33830,Hope Vale,False,332.0,357.0,367.0,373.0,378.0,382.0,,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
3,Queensland,33960,Ipswich,True,86758.0,103934.0,125811.0,152522.0,181038.0,209404.0,,3435.0,3435.0,3435.0,3435.0,3435.0,4375.0,4375.0,4375.0,4375.0,4375.0,5342.0,5342.0,5342.0,5342.0,5342.0
3,Queensland,33980,Isaac,False,10327.0,10709.0,11053.0,11462.0,11889.0,12338.0,,76.0,76.0,76.0,76.0,76.0,69.0,69.0,69.0,69.0,69.0,82.0,82.0,82.0,82.0,82.0
3,Queensland,34420,Kowanyama,False,294.0,314.0,332.0,348.0,358.0,364.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
3,Queensland,34530,Livingstone,False,16708.0,18355.0,20768.0,22981.0,24745.0,25852.0,,329.0,329.0,329.0,329.0,329.0,483.0,483.0,483.0,483.0,483.0,443.0,443.0,443.0,443.0,443.0
3,Queensland,34570,Lockhart River,False,214.0,214.0,214.0,214.0,214.0,214.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Queensland,34580,Lockyer Valley,True,15924.0,17317.0,18621.0,19974.0,21360.0,22768.0,,279.0,279.0,279.0,279.0,279.0,261.0,261.0,261.0,261.0,261.0,271.0,271.0,271.0,271.0,271.0
3,Queensland,34590,Logan,True,125200.0,143622.0,161633.0,178428.0,189914.0,199142.0,,3684.0,3684.0,3684.0,3684.0,3684.0,3602.0,3602.0,3602.0,3602.0,3602.0,3359.0,3359.0,3359.0,3359.0,3359.0
3,Queensland,34710,Longreach,False,1797.0,1827.0,1834.0,1813.0,1773.0,1726.0,,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,-4.0,-4.0,-4.0,-4.0,-4.0
3,Queensland,34770,Mackay,False,50596.0,54133.0,57589.0,60986.0,63998.0,66845.0,,707.0,707.0,707.0,707.0,707.0,691.0,691.0,691.0,691.0,691.0,679.0,679.0,679.0,679.0,679.0
3,Queensland,34800,McKinlay,False,340.0,355.0,365.0,361.0,354.0,347.0,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,Queensland,34830,Mapoon,False,105.0,112.0,117.0,119.0,123.0,127.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,Queensland,34860,Maranoa,False,6154.0,6235.0,6250.0,6218.0,6146.0,6056.0,,16.0,16.0,16.0,16.0,16.0,3.0,3.0,3.0,3.0,3.0,-6.0,-6.0,-6.0,-6.0,-6.0
3,Queensland,34880,Mareeba,False,9338.0,9922.0,10484.0,10921.0,11257.0,11530.0,,117.0,117.0,117.0,117.0,117.0,112.0,112.0,112.0,112.0,112.0,87.0,87.0,87.0,87.0,87.0
3,Queensland,35010,Moreton Bay,True,186039.0,218348.0,248249.0,275248.0,301419.0,327578.0,,6462.0,6462.0,6462.0,6462.0,6462.0,5980.0,5980.0,5980.0,5980.0,5980.0,5400.0,5400.0,5400.0,5400.0,5400.0
3,Queensland,35250,Mornington,False,349.0,354.0,354.0,354.0,351.0,346.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Queensland,35300,Mount Isa,False,8030.0,8219.0,8288.0,8338.0,8332.0,8293.0,,38.0,38.0,38.0,38.0,38.0,14.0,14.0,14.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0
3,Queensland,35600,Murweh,False,2077.0,2072.0,2048.0,2026.0,1981.0,1929.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.0,-4.0,-4.0,-4.0,-4.0
3,Queensland,35670,Napranum,False,261.0,270.0,277.0,282.0,286.0,290.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Queensland,35740,Noosa,True,28141.0,29829.0,30761.0,31535.0,32245.0,32883.0,,338.0,338.0,338.0,338.0,338.0,186.0,186.0,186.0,186.0,186.0,155.0,155.0,155.0,155.0,155.0
3,Queensland,35760,North Burnett,False,5140.0,5232.0,5271.0,5330.0,5373.0,5408.0,,18.0,18.0,18.0,18.0,18.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0
3,Queensland,35780,Northern Peninsula Area,False,806.0,842.0,862.0,883.0,913.0,930.0,,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3,Queensland,35790,Palm Island,False,517.0,552.0,595.0,669.0,778.0,926.0,,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,15.0
3,Queensland,35800,Paroo,False,989.0,981.0,969.0,959.0,939.0,915.0,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
3,Queensland,36070,Pormpuraaw,False,229.0,240.0,250.0,260.0,266.0,269.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3,Queensland,36150,Quilpie,False,412.0,410.0,405.0,401.0,393.0,383.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,Queensland,36250,Redland,True,64740.0,70547.0,74718.0,77890.0,80301.0,81411.0,,1161.0,1161.0,1161.0,1161.0,1161.0,834.0,834.0,834.0,834.0,834.0,634.0,634.0,634.0,634.0,634.0
3,Queensland,36300,Richmond,False,368.0,380.0,390.0,386.0,378.0,370.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,Queensland,36370,Rockhampton,False,35144.0,36546.0,38117.0,39602.0,40834.0,42178.0,,280.0,280.0,280.0,280.0,280.0,314.0,314.0,314.0,314.0,314.0,297.0,297.0,297.0,297.0,297.0
