lga_code,lga_name,SEQ,det,med,high
13550,Gunnedah,,0.75,0.75,0.029
13660,Gwydir,,0.75,0.75,0.029
13800,Hawkesbury,,0.75,0.75,0.029
13850,Hay,,0.75,0.75,0.029
13910,Hilltops,,0.75,0.75,0.029
14000,Hornsby,,0.75,0.75,0.029
14100,Hunters Hill,,0.75,0.75,0.029
14170,Inner West,,0.75,0.75,0.029
14220,Inverell,,0.75,0.75,0.029
14300,Junee,,0.75,0.75,0.029
14350,Kempsey,,0.75,0.75,0.029
14400,Kiama,,0.75,0.75,0.029
14500,Ku-ring-gai,,0.75,0.75,0.029
14550,Kyogle,,0.75,0.75,0.029
14600,Lachlan,,0.75,0.75,0.029
14650,Lake Macquarie,,0.75,0.75,0.029
14700,Lane Cove,,0.75,0.75,0.029
14750,Leeton,,0.75,0.75,0.029
14850,Lismore,,0.75,0.75,0.029
14870,Lithgow,,0.75,0.75,0.029
14900,Liverpool,,0.75,0.75,0.029
14920,Liverpool Plains,,0.75,0.75,0.029
14950,Lockhart,,0.75,0.75,0.029
15050,Maitland,,0.75,0.75,0.029
15240,Mid-Coast,,0.75,0.75,0.029
15270,Mid-Western,,0.75,0.75,0.029
15300,Moree Plains,,0.75,0.75,0.029
15350,Mosman,,0.75,0.75,0.029
15520,Murray River,,0.75,0.75,0.029
15560,Murrumbidgee,,0.75,0.75,0.029
15650,Muswellbrook,,0.75,0.75,0.029
15700,Nambucca Valley,,0.75,0.75,0.029
15750,Narrabri,,0.75,0.75,0.029
15800,Narrandera,,0.75,0.75,0.029
15850,Narromine,,0.75,0.75,0.029
15900,Newcastle,,0.75,0.75,0.029
15950,North Sydney,,0.75,0.75,0.029
15990,Northern Beaches,,0.75,0.75,0.029
16100,Oberon,,0.75,0.75,0.029
16150,Orange,,0.75,0.75,0.029
16200,Parkes,,0.75,0.75,0.029
16260,Parramatta,,0.75,0.75,0.029
16350,Penrith,,0.75,0.75,0.029
16380,Port Macquarie-Hastings,,0.75,0.75,0.029
16400,Port Stephens,,0.75,0.75,0.029
16490,Queanbeyan-Palerang,,0.75,0.75,0.029
16550,Randwick,,0.75,0.75,0.029
16610,Richmond Valley,,0.75,0.75,0.029
16700,Ryde,,0.75,0.75,0.029
16900,Shellharbour,,0.75,0.75,0.029
16950,Shoalhaven,,0.75,0.75,0.029
17000,Singleton,,0.75,0.75,0.029
17040,Snowy Monaro,,0.75,0.75,0.029
17080,Snowy Valleys,,0.75,0.75,0.029
17100,Strathfield,,0.75,0.75,0.029
17150,Sutherland,,0.75,0.75,0.029
17200,Sydney,,0.75,0.75,0.029
17310,Tamworth,,0.75,0.75,0.029
17350,Temora,,0.75,0.75,0.029
17400,Tenterfield,,0.75,0.75,0.029
17420,The Hills,,0.75,0.75,0.029
17550,Tweed,,0.75,0.75,0.029
17620,Upper Hunter,,0.75,0.75,0.029
17640,Upper Lachlan,,0.75,0.75,0.029
17650,Uralla,,0.75,0.75,0.029
17750,Wagga Wagga,,0.75,0.75,0.029
17850,Walcha,,0.75,0.75,0.029
17900,Walgett,,0.75,0.75,0.029
17950,Warren,,0.75,0.75,0.029
18020,Warrumbungle,,0.75,0.75,0.029
18050,Waverley,,0.75,0.75,0.029
18100,Weddin,,0.75,0.75,0.029
18200,Wentworth,,0.75,0.75,0.029
18250,Willoughby,,0.75,0.75,0.029
18350,Wingecarribee,,0.75,0.75,0.029
18400,Wollondilly,,0.75,0.75,0.029
18450,Wollongong,,0.75,0.75,0.029
18500,Woollahra,,0.75,0.75,0.029
18710,Yass Valley,,0.75,0.75,0.029
19399,Unincorporated NSW,,0.75,0.75,0.029
19499,No usual address (NSW),,0.75,0.75,0.029
19799,Migratory - Offshore - Shipping (NSW),,0.75,0.75,0.029
20110,Alpine,,0.75,0.75,0.029
20260,Ararat,,0.75,0.75,0.029
20570,Ballarat,,0.75,0.75,0.029
20660,Banyule,,0.75,0.75,0.029
20740,Bass Coast,,0.75,0.75,0.029
20830,Baw Baw,,0.75,0.75,0.029
20910,Bayside (Vic.),,0.75,0.75,0.029
21010,Benalla,,0.75,0.75,0.029
21110,Boroondara,,0.75,0.75,0.029
21180,Brimbank,,0.75,0.75,0.029
21270,Buloke,,0.75,0.75,0.029
21370,Campaspe,,0.75,0.75,0.029
21450,Cardinia,,0.75,0.75,0.029
21610,Casey,,0.75,0.75,0.029
21670,Central Goldfields,,0.75,0.75,0.029
21750,Colac Otway,,0.75,0.75,0.029
21830,Corangamite,,0.75,0.75,0.029
21890,Darebin,,0.75,0.75,0.029
22110,East Gippsland,,0.75,0.75,0.029
22170,Frankston,,0.75,0.75,0.029
22250,Gannawarra,,0.75,0.75,0.029
22310,Glen Eira,,0.75,0.75,0.029
22410,Glenelg,,0.75,0.75,0.029
22490,Golden Plains,,0.75,0.75,0.029
22620,Greater Bendigo,,0.75,0.75,0.029
22670,Greater Dandenong,,0.75,0.75,0.029
22750,Greater Geelong,,0.75,0.75,0.029
22830,Greater Shepparton,,0.75,0.75,0.029
22910,Hepburn,,0.75,0.75,0.029
22980,Hindmarsh,,0.75,0.75,0.029
23110,Hobsons Bay,,0.75,0.75,0.029
23190,Horsham,,0.75,0.75,0.029
23270,Hume,,0.75,0.75,0.029
23350,Indigo,,0.75,0.75,0.029
23430,Kingston (Vic.),,0.75,0.75,0.029
23670,Knox,,0.75,0.75,0.029
23810,Latrobe (Vic.),,0.75,0.75,0.029
23940,Loddon,,0.75,0.75,0.029
24130,Macedon Ranges,,0.75,0.75,0.029
24210,Manningham,,0.75,0.75,0.029
24250,Mansfield,,0.75,0.75,0.029
24330,Maribyrnong,,0.75,0.75,0.029
24410,Maroondah,,0.75,0.75,0.029
24600,Melbourne,,0.75,0.75,0.029
24650,Melton,,0.75,0.75,0.029
24700,Merri-bek,,0.75,0.75,0.029
24780,Mildura,,0.75,0.75,0.029
24850,Mitchell,,0.75,0.75,0.029
24900,Moira,,0.75,0.75,0.029
24970,Monash,,0.75,0.75,0.029
25060,Moonee Valley,,0.75,0.75,0.029
25150,Moorabool,,0.75,0.75,0.029
25340,Mornington Peninsula,,0.75,0.75,0.029
25430,Mount Alexander,,0.75,0.75,0.029
25490,Moyne,,0.75,0.75,0.029
25620,Murrindindi,,0.75,0.75,0.029
25710,Nillumbik,,0.75,0.75,0.029
25810,Northern Grampians,,0.75,0.75,0.029
25900,Port Phillip,,0.75,0.75,0.029
25990,Pyrenees,,0.75,0.75,0.029
26080,Queenscliffe,,0.75,0.75,0.029
26170,South Gippsland,,0.75,0.75,0.029
26260,Southern Grampians,,0.75,0.75,0.029
26350,Stonnington,,0.75,0.75,0.029
26430,Strathbogie,,0.75,0.75,0.029
26490,Surf Coast,,0.75,0.75,0.029
26610,Swan Hill,,0.75,0.75,0.029
26670,Towong,,0.75,0.75,0.029
26700,Wangaratta,,0.75,0.75,0.029
26730,Warrnambool,,0.75,0.75,0.029
26810,Wellington,,0.75,0.75,0.029
26890,West Wimmera,,0.75,0.75,0.029
26980,Whitehorse,,0.75,0.75,0.029
27070,Whittlesea,,0.75,0.75,0.029
27170,Wodonga,,0.75,0.75,0.029
27260,Wyndham,,0.75,0.75,0.029
27350,Yarra,,0.75,0.75,0.029
