lga_code,lga_name,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw
14750,Leeton (A),4951.481309,5088.883362,5161.93634,5216.039294,5226.585682
14850,Lismore (C),19834.16048,19860.92016,19751.22987,19459.01522,18985.87718
14870,Lithgow (C),10627.60733,10875.91442,11053.61352,11151.32012,11131.75796
14900,Liverpool (C),76659.32408,82989.58901,91807.21084,101451.0756,109959.1705
14920,Liverpool Plains (A),3975.976452,3993.843483,3969.398579,3904.551767,3806.264455
14950,Lockhart (A),1462.031825,1546.538146,1664.280263,1803.745026,1944.114901
15050,Maitland (C),36679.80326,42364.75386,48720.55111,55330.32923,61873.23912
15240,Mid-Coast (A),52998.32846,56043.19765,59089.61169,61760.48378,64033.68783
15270,Mid-Western Regional (A),12521.35036,13139.34922,13811.5999,14485.83053,15088.00956
15300,Moree Plains (A),6281.363236,6842.084835,7416.645731,7984.130799,8507.180143
15350,Mosman (A),14582.63644,15117.68061,15595.3525,15997.55165,16277.75735
15520,Murray River (A),6467.030055,6905.267569,7418.497916,7904.881775,8337.234427
15560,Murrumbidgee (A),1853.221831,1910.255012,1984.648985,2045.097369,2091.681709
15650,Muswellbrook (A),7370.315499,7760.21309,8142.457987,8417.56231,8589.168507
15700,Nambucca Valley (A),10032.14847,10306.29536,10575.94008,10775.50283,10888.5491
15750,Narrabri (A),5964.186988,5956.895884,5949.431992,5902.347009,5803.251844
15800,Narrandera (A),2863.106461,2787.194411,2753.61425,2729.848343,2691.779283
15850,Narromine (A),2982.523171,2894.975991,2761.335874,2601.999859,2416.614068
15900,Newcastle (C),75754.79245,78777.78701,83503.04056,88617.84019,93594.80072
15950,North Sydney (A),41259.571,42617.21826,44685.53616,46932.37837,47931.60963
15990,Northern Beaches (A),113363.5749,117457.0565,121968.4033,126493.7981,130105.6097
16100,Oberon (A),2854.059879,2896.078863,2922.139212,2938.95077,2947.565017
16150,Orange (C),19098.328,20497.23015,21897.12027,23181.39479,24299.70698
16200,Parkes (A),6924.491811,6962.361531,7211.477548,7462.661658,7687.028341
16260,Parramatta (C),99897.83773,107326.9564,118905.3478,135041.1462,154942.81
16350,Penrith (C),80452.55936,84829.60329,91436.04032,99363.39419,106946.4096
16380,Port Macquarie-Hastings (A),41735.47705,44407.10772,47130.97779,49556.25733,51616.36608
16400,Port Stephens (A),37899.19046,40637.50822,43575.14621,46394.54948,48978.03596
16490,Queanbeyan-Palerang Regional (A),27733.92662,30128.08129,32911.07148,35757.75753,38530.32605
16550,Randwick (C),65844.11108,67141.66665,69515.0056,72718.72694,76141.25166
16610,Richmond Valley (A),10957.56835,11274.70939,11598.83007,11891.39083,12129.61094
16700,Ryde (C),53745.49506,57302.48711,63992.3298,69162.96813,75809.11005
16900,Shellharbour (C),29962.20246,32535.12379,35593.42754,38874.61854,42181.97164
16950,Shoalhaven (C),62645.77707,68370.5263,74771.68258,81056.4298,86985.05545
17000,Singleton (A),9962.541817,10089.42162,10214.43232,10247.39732,10177.25861
17040,Snowy Monaro Regional (A),11379.16631,11858.80818,12439.17505,12963.24582,13419.72631
17080,Snowy Valleys (A),7280.1695,7316.437317,7388.992386,7439.780435,7452.327162
17100,Strathfield (A),17719.79865,19549.78543,20670.39544,21420.77165,22171.23236
17150,Sutherland Shire (A),92716.85097,97426.80229,102838.6015,107196.4725,110661.9172
17200,Sydney (C),125532.5647,126877.9638,137894.0843,150222.4498,162058.8951
17310,Tamworth Regional (A),28175.08969,29414.05429,30843.84553,32268.68482,33607.30023
17350,Temora (A),3093.504633,3130.279559,3202.704584,3281.6651,3368.473269
17400,Tenterfield (A),3741.013503,3659.125154,3500.140378,3290.419173,3061.531119
17420,The Hills Shire (A),61498.99357,69964.50908,82589.05301,93230.607,100783.0054
17550,Tweed (A),46207.35949,49370.26678,52282.22089,54730.9393,56610.08432
19399,Unincorporated NSW,543.6664106,503.2076742,459.822725,421.8758699,392.9867212
17620,Upper Hunter Shire (A),6841.414897,6864.697085,6895.369431,6866.308569,6779.935413
17640,Upper Lachlan Shire (A),4447.266304,4724.264589,4957.783939,5178.294369,5366.732582
17650,Uralla (A),2889.540649,2910.004738,2861.685679,2746.402713,2584.570665
